text,sarcasm_label
😂 mulai berulah,Sarcasm
Bodoamat,Non-Sarcasm
Apa sie🤣,Sarcasm
Pede sekali anjirrrrr,Non-Sarcasm
bukan NPD sih tp emg beliau tuh saat ini megang banyak hal.,Non-Sarcasm
Pede amat bu 🤣,Sarcasm
Paling apaaaa?????😂😂,Sarcasm
Siapa yg nyadap hp nene2 macam dia??😂 Demi apa nyadap hp nene uzur ?? Sok keren kali 🤣,Sarcasm
Pohon Karet x akh di sadap wkwk,Non-Sarcasm
aihhhh pedenyaaaa ibukkk😂,Sarcasm
@megakevinrara  Lo disadap nggk😂😂,Sarcasm
Perasaan mu aja itu bu,Non-Sarcasm
Pick me,Non-Sarcasm
galery hape paling isinya ss resep kekinian,Non-Sarcasm
IWH,Non-Sarcasm
ikut era flinstone oma mega...👍,Non-Sarcasm
Skali muncul nggeregetno buls.. Skip,Non-Sarcasm
Iya nek 😂,Sarcasm
Halu,Non-Sarcasm
Naj*s,Non-Sarcasm
Saya jual satelit lohh..,Non-Sarcasm
Nelpon anaknya pasti pake telpon kaleng 🗿,Sarcasm
Saya tak percaya,Non-Sarcasm
Lawak 😂 Pede bgt bu,Sarcasm
"Yang nyadap omongannya brarti anak, sekjen, org dekat dan mereka menjualnya ke lawan😂😂",Sarcasm
Bentar lagi masuk kedalem tanah,Non-Sarcasm
Mauu ktawa tapi ini old skul nanti durhaka 😢,Non-Sarcasm
mending nyadap karet deh...,Non-Sarcasm
Gpp. Hak sampeyan kok.,Non-Sarcasm
kerenn😍,Non-Sarcasm
Nek kok merasa paling banget ya😂,Sarcasm
🫡🇮🇩 megachan GK perlu smartphone karena udah bisa pake indra ke enam,Non-Sarcasm
"ga pake hape pakenya HT, walkie talki, kijang satu kita harus counter si owi biar banteng tetep eksis",Non-Sarcasm
"Maaf nih bu, maaf banget... baiknya semua pengurus partai juga jangan pakai HP, pakai pager aja. Ibunya gak disadap, tp kanan, kiri, depan, belakang bocor, ya sama aja.",Non-Sarcasm
yah kasian nenek gabisa liat tiktok,Non-Sarcasm
Iyain aja guys,Non-Sarcasm
Lebay ente Ga,Non-Sarcasm
"PROMO HARGA MOBIL MITSUBISHI SURABAYA

Promo bulan ini :
* TDP mulai 15% / Bisa menyesuaiakan budget customer ( DP/Angsran )
*Suku bunga murah
*Proses mudah dan cepat, dbntu sampai acc
*Full bonus
*Diskon besar
*Unit Ready stock
*Melayani seluruh wilayah Jatim",Non-Sarcasm
"Strawberry mangga emping, sorry ga penting",Non-Sarcasm
kalau punya hp kayak fafafufu nantii 😂,Sarcasm
halu,Non-Sarcasm
Makane keok,Non-Sarcasm
Pick me,Non-Sarcasm
Kepedean nya ga pernah ilang,Non-Sarcasm
"Komunikasinya pakai sonar, sekalian bisa ngukur kedalaman laut",Non-Sarcasm
Aahahahahha 🫣👍,Sarcasm
Wih keren banget Bu 👏,Non-Sarcasm
Kaya sinetron... banyak Dramanya seolah-olah paling yg tersakiti..,Non-Sarcasm
James bon (jage mesjid ame kebon),Non-Sarcasm
Minimal Hp Nexian lah bu....,Non-Sarcasm
Ngakak refleks banget 😭😭🤭🤭😂🤣🤣🤣,Sarcasm
Akupun bersorak lompat kegirangan... Tapi kuterjatuh dari kursi goyang... Kiranya ku mimpi uuhhh... Jadi ratu James Bond semalam...😱,Non-Sarcasm
Gumush,Non-Sarcasm
pick me grandma,Non-Sarcasm
Padahal bukan presiden lagi 🤣,Sarcasm
Si paling,Non-Sarcasm
Nanya sendiri Jawab Sendiri kah?,Non-Sarcasm
Yah gara2 kelakuan ibu sendiri itu. Klo masih ada Alm. Bapak ibu udah di omelin terus sih 😂,Sarcasm
😂,Sarcasm
😂,Sarcasm
,Non-Sarcasm
Kepedean,Non-Sarcasm
Ok mbah  menyalaa terus🔥🔥🔥,Non-Sarcasm
sadap KARET kaleee,Non-Sarcasm
😂😂😂😂😂 sok penting,Sarcasm
"Pede amat, bilang aja gk tau cara pakainya",Non-Sarcasm
Kepedean,Non-Sarcasm
Bu saya mohon jng smpai Bu kaya Amien rais loh 😂😂😂😂,Sarcasm
Mang KLO udh nenek2 semakin hari semakin lucu tingkahnya,Non-Sarcasm
Loh org anda di BIN kmrn gak info?,Non-Sarcasm
nama gw sama lg blkngnya🥹,Non-Sarcasm
Pede amat,Non-Sarcasm
"Curhat wae,,,",Non-Sarcasm
Ada sengkuni yg pengen ibu dan partai pdip tenggelam pake intel2 untouchable,Non-Sarcasm
Ngomongggg opooo kiiiii,Non-Sarcasm
Umur segitu emang lagi lucu lucunya,Non-Sarcasm
Mau main james bond james bond an 🔥,Non-Sarcasm
Nenek lampir,Non-Sarcasm
Pd amat,Non-Sarcasm
GeEr ibu nih...,Non-Sarcasm
Pd bgt bun 😍,Non-Sarcasm
"Intelijen menyadap tak perlu hp atau piranti elektomagnetik apa pun, cukup memetakan karakter suaranya sudah cukup untuk mengintersep ke dinding yang patut diduga asal-muasal suara tsb😄",Non-Sarcasm
"Tuh kan, akhirnya jadi senjata makan tuan, akhir2 ini aja malah sering curhat, klo gitu berarti nenek banteng lg gak nyaman nih",Non-Sarcasm
"Karena bu meg, dulu MK mengubah UU yg sebelumnya syarat menjadi presiden minimal S1, berubah minimal sma",Non-Sarcasm
Iya bu iya,Non-Sarcasm
Npd,Non-Sarcasm
Moso,Non-Sarcasm
keren bgt to yoooo😂,Sarcasm
Dia ngapain,Non-Sarcasm
"Tapi James Bond punya HP, ribu…",Non-Sarcasm
,Non-Sarcasm
Mungkin oknum pinjol atau judol😂😂😂,Sarcasm
Pohon karet kali disadap 😂,Sarcasm
😂,Sarcasm
Emang nya gw pedulu🔥🔥🔥🔥,Non-Sarcasm
........,Non-Sarcasm
Ke PD an 😢,Non-Sarcasm
Beri tepuk gemuruh ....,Non-Sarcasm
makin lucu se mbahhh😂,Sarcasm
Asikkk pake merpati pos ya bu?,Non-Sarcasm
Kader2nya udh gak betah sebenernya tpi klo keluar pasti di omongin sama dia,Sarcasm
Pede banget 😅,Sarcasm
Mabok Aibon,Non-Sarcasm
B aja,Non-Sarcasm
Gemes bgt 😂😂😂,Sarcasm
pohon karet kali..... di sadap,Non-Sarcasm
Taik taik,Non-Sarcasm
sakarepmu bae mbok,Non-Sarcasm
Sedikit lagi lucu,Non-Sarcasm
"sudah nenek nenek, segeralah bertaubat",Non-Sarcasm
"Siapa yg ada stiker ibu² satu ini diWA, untung ibu ini ga main hp😂",Sarcasm
Kenapa ya bu Mega ini kalau ngomong mesti ada tebak-tebakannya dulu. 🙂,Non-Sarcasm
"Orang ini tarung pake jalur langit, diserang sana sini dr jaman baheula tp tdk pernah tumbang",Non-Sarcasm
"Bu Mega nya gax Pakai HP.. Karena HP nya di Titip di Ajudan / Asisten Ibu Mega.. Prabowo Sebelum Jadi Presiden Juga Gitu Kok, HP nya Suka di Pegang Ajudan / Asisten nya",Non-Sarcasm
Nek udah ngaca blon? Sok banyol aja.. minum obat dulu ya😂,Sarcasm
Engga.,Non-Sarcasm
Keren banget ibuuuùuuuuuu🔥,Non-Sarcasm
GR lu mak 😂😂,Sarcasm
Biasa aja. Ga keren,Non-Sarcasm
"Salah nenek sendiri ngapain mau angkat Mulyono jadi presiden, akhirnya dia berkhianat kan sama ibu",Non-Sarcasm
Gimana ibu aja lah,Non-Sarcasm
😂😂😂😂😂😂😂,Sarcasm
Pantesan saya chat ceklis 1 bunda,Non-Sarcasm
,Non-Sarcasm
Padahal mau minta no wa nya 🗿,Non-Sarcasm
"Mega lagi nyindir iPhone 16 ga dijual di Indonesia. Kelen tau ga seehhh, masa gatau 😂😂😂",Sarcasm
Ibuk pensiun sajah gak usah urus partai momong cucuk aja bu dirumah & berkebun,Non-Sarcasm
Menyala ibuk 🔥,Non-Sarcasm
"Paling disadap yah,,, hehehe",Sarcasm
"Lucu lihat komenan2 nya . Beliau kan pnya ajudan , pnya anggota . Jika ada perlu berhubungan dengan seseorang tinggal suruh utusan / anggota / ajudan nya . Memang tidak perlu HP juga , jangan samakan dengan kalian yg tidak bisa jauh dari HP . Masih begini saja kalian tidak bisa menalar omongan beliau , sudah berkomentar saya jg ga pakai HP blablabla . Ingat kalian Siapa , dan Beliau Siapa 🙌🙌",Non-Sarcasm
Yo toh?,Non-Sarcasm
"Udah lah, istirahat aja.... kasian ntar anaknya mau jadi ketum aja dah ketuaan",Non-Sarcasm
Mak banteng klo ngomong asal congor aja,Non-Sarcasm
Jokowi tanpa PDIP aduuuh 😂😂,Sarcasm
Pantesan gak tau perkembangan nitijen,Non-Sarcasm
Seumuran gitu emang lagi gemes-gemesnya 😂,Sarcasm
Terserah aja,Non-Sarcasm
Si paling disadap,Non-Sarcasm
Partai ente yg milih jokowi entah apa backgroundnya dia banyak polemik 😕😕😕,Non-Sarcasm
Megawati parnoan semenjak prabowo jadi presiden😂,Sarcasm
Wanita paling cantik versi roki gerung,Non-Sarcasm
Kalo anda punya hp...pasti anda sudah jantungan.,Sarcasm
"Seperti kata YUSUF KALLA... Logikanya klo elu org bener, ngapain takut disadap... 😂😂😂",Sarcasm
Iya in aja netijen..daripada daripada😂,Sarcasm
😂,Sarcasm
Jiabang bayik. NPD.,Non-Sarcasm
Dih nenek😂,Sarcasm
Seng arep nyadap koe ki yo sopo,Non-Sarcasm
"Kalau dikampungku umur2 segini udah sibuk ikut pengajian, tahlilan atau memperbanyak ibadah lain.",Non-Sarcasm
GE ER banget Bu ..buang2 anggaran negara nyadap ibu yg sdh pasti isinya cm menghakimi org lain...narcistik leadership syndrome,Sarcasm
"Perasaan ngga ada yg nanya, dan ngga ada yg mau tau juga",Non-Sarcasm
Wow baru tau gak punya hp,Non-Sarcasm
Gokss 🔥,Non-Sarcasm
Ya Allah.. 👏👏 tahaan tahaaan,Non-Sarcasm
😂😂,Sarcasm
Mbah,Non-Sarcasm
Ndobol,Non-Sarcasm
9p0,Non-Sarcasm
😂,Sarcasm
Lama lama koq eneg ya baca semua lawakan RK,Non-Sarcasm
"Ketika menunggu yang di harapkan yaitu kedatangan bus tepat waktu, jikalau ada jeda menunggu artinya efektivitas bus masih kurang",Non-Sarcasm
"Semakin ke sini, semakin ke sana. Goodluck Jakarta!",Non-Sarcasm
Rada rada gmn gitu...,Non-Sarcasm
😂😂😂😂,Sarcasm
Kenapa jadi gini pak RKnide gagasan nya😂,Sarcasm
Makin kesini kok makin kocak,Non-Sarcasm
Kenapa gak tj nya di perbanyak?😢,Non-Sarcasm
Wkwkwkwk ngakak gua liatnya,Non-Sarcasm
Masuk tj keringetan...mantap pak🤣,Sarcasm
Ntar di busway pada bau keringat 😂,Sarcasm
"Ko idenya ngga ada yg memberi solusi? Bikin mobil konsultasi buat nanganin stress karena macet, bikin gym dijalan....Bapak kira Jakarta kaya jalan Braga atau Gedung Sate kali ya....berpikirnya aneh...",Non-Sarcasm
Komedian kok jadi gubernur 😂,Sarcasm
HADUH BAPAK INI TERLALU BANYAK FANTASI YANG JOMPLANG SAMA KONDISI LAPANGAN🙄,Non-Sarcasm
Besi penutup gorong-gorong aja hilang sampai Mulyono masuk 😂,Sarcasm
"Yg masuk akal aja klu mau buat ,bikin rusuh aja",Non-Sarcasm
Daripada tempat gym lebih baik ditambah lagi fasilitas untuk pejalan kaki dan bersepeda pa @ridwankamil,Non-Sarcasm
Imajinasi sih bagus tp ga Ampe segitu nya kali😂,Sarcasm
"Masa pke baju rapi2 malah keringatan pak, blm lg masuk tj penuh aroma😂😂😂",Sarcasm
Haduh ada2 aja idenya 😢,Non-Sarcasm
Fix kalah ni orang😂,Sarcasm
Terlihat beda bukan berarti ngaco 😂,Sarcasm
"Apalagi sih anjir, lu gabut ya ikut nyagub",Non-Sarcasm
"Kok rada gmn ya dengan gagasan"" RK ini, itu Jakarta udh panas, orang sudah keringetan kali pak tanpa perlu gym. Daripada mikirin waktu tunggu, mending pikirin gimana carany tuh transportasi umum bisa tepat waktu.. kecuali situ lagi sibuk mikirin imajinasi"" baru untuk proyek #ups",Non-Sarcasm
Bapak dulu yg nge gym pinggir jalan sambil pake kaos Persija,Non-Sarcasm
Wah keren jakarta bakal jadi vrindapan 😂,Sarcasm
Siap siap bau ketek diangkutan umum,Non-Sarcasm
"Sebenernya alat gymnya fine2 aja kalo di taman2 area pemukiman, cuman kalo ditaro dipinggir jalan buat sambilan nunggu transjakarta itu agak kelewatan sih imajinasinya.",Non-Sarcasm
masuk TJ berdiri ketiak basah😂,Sarcasm
Mending taro takjil. Bentar lagi puasa,Non-Sarcasm
Nanti hilang ngga?,Non-Sarcasm
masuk tj bau asem👏,Non-Sarcasm
Ide yg paling tdk berguna?,Non-Sarcasm
Ang ang ang ang ang...,Non-Sarcasm
Besi gratis,Non-Sarcasm
Ini org makin edan,Non-Sarcasm
Kalo punya gagasan untuk Ibukota minimal yang ciamik lah🤣🤣 ini abal2,Sarcasm
"Semerbak bau ketek di trans Jakarta, sambil pegangan ketek terangkat. Sungguh brillian dan out of the box.",Non-Sarcasm
"Mentang2 boneka Mulyono, jd pengen semua penumpang bus bau ketek Erina semua",Non-Sarcasm
Halah euy,Non-Sarcasm
"Ga usah member gym, naik TJ aja @ekaarditaaaa",Non-Sarcasm
Keburu diambil klan mexico 😂,Sarcasm
Apek lah 🧱,Non-Sarcasm
"WKWKW ASBUN! NOH ALAT GYM BANDUNG KABARNYA GIMANA PAK? DI PAKE KAGAK, RUSAK IYA😂😂😂😂😂😂😂😂😂😂😂",Sarcasm
Kebanyakan silikon jadi begini jadinya 😂😂😂,Sarcasm
sampai sekarang RK belum ketemu formulasi JKT Top 😂,Sarcasm
@amron_asyhari pasti senang,Sarcasm
😂😂😂,Sarcasm
😂😂,Sarcasm
😂😂😂program nya top semua,Sarcasm
"dut badut aneh aneh gebrakan lo, udeh sono balik anjing",Non-Sarcasm
😂,Sarcasm
"Kenapa ya program RK aneh"" 😂😂😂, aku pikir bakal bagus progam""nya😂😂",Sarcasm
Saya takut ke gym.. karena cowo berotot tapi.. 😑,Non-Sarcasm
😂😂😂😂😂😂😂😂😂,Sarcasm
🙌imagination🙌,Non-Sarcasm
Olahraga itu habis sholat subuh.....mandi....sarapan berangkat kerja........ Klo udah mau kerja disuruh ngegym sambil nunggu angkot apa itu waras???,Non-Sarcasm
kocak,Non-Sarcasm
@banyak sekali janji janjinya kang @ridwankamil 😂,Sarcasm
Agak laen memang,Non-Sarcasm
"Haduuhhh pakk....bpk out of the box, tapiiiiii outtt bangettt  #RK #ridwankonten 😂😂😂😂 @ridwankamil",Sarcasm
mendingan bikin program skin care gratis Pak….,Non-Sarcasm
Gak realistis.  Besi di las j hilang di ambil apa lg alat fitnes,Non-Sarcasm
Harwat,Non-Sarcasm
"Penumpang : bentar pak supir, satu set lagi",Non-Sarcasm
"idenya bagus tapi kenapa harus di pinggir jalan? knp ga di taman2 deket pemukiman warga aja? rata2 orang naik tj pasti udh rapih dan bersih kalau masa mau dikeringatin lagi , apa ga risih penumpang lain yg ada di dalam tj? logikanya gak main nich..😢",Sarcasm
Tolllllooollll,Non-Sarcasm
"""Di colong"" wkwk",Non-Sarcasm
Lmao,Non-Sarcasm
Agak laen emang😂😂😂😂,Sarcasm
Otak udang ngak bisa mikir  kenapa yah ngak ada yg prokram mengambil kembali tanah pik dua yg udah diberikan kembali pada asing sejak anies turun dan sekarang sudah di perluas dengan pengusuran ribuan hektar tanah warga dan nelayan,Non-Sarcasm
Lagi Stand Up Komedi ya @ridwankamil,Non-Sarcasm
Luar binasa idenya 😂😂😂,Sarcasm
Mantap nih ide nya...jangan lupa cewek yg ke kantor pake baju gym aja....biar ada pemandangan 🙃🤭😂,Sarcasm
Taro box nasi bungkus gratis aja pak.. Biar nunggu TJ sambil sarapan. 😂,Sarcasm
Ngak satu pun calon guberbur saat ini yg berbobot si tooh semua,Non-Sarcasm
"Diera digital,yg dibutuhkan kepintaran alias kerja otak,bukan kerja otot..jadi kurang efektif kl otot digedein tapi otak zonk..",Non-Sarcasm
Jalan kaki aja untuk menuju Halte bus itu sudah termasuk olahraga  et😂,Sarcasm
"Bagus sih, tapi yg ditakutkan nanti dicuri baru ditimbang alat2 nya 😂",Sarcasm
Kenapa cagub cawagub jakarta selalu lucu??ya karena warganya juga lucu-lucu 😂😂😂😂,Sarcasm
Meding kursi pijat gratis sih Pak 😄,Non-Sarcasm
"Itu mah program bual-bualan, mampu dia jaga alat gym di segala tempat? Mikir dulu donk dan pegang serta percaya janji yg realistis aja",Non-Sarcasm
Usahakan jangan sampai Viking menguasai wilayah the jak,Non-Sarcasm
"duh pak basi bgt sih, mending kek anies pak, bagusin JPO buat selfi2, banjir macet dibiarin.",Non-Sarcasm
Yg ada bau ketek 😂,Sarcasm
Tejelas maneh wan,Non-Sarcasm
Jakarta Menyala 🔥,Non-Sarcasm
Emng lu pikir nunggu trabsjakarta ja keringatan?,Non-Sarcasm
"Gym sdh ada tempat nya pak...sm az ini mematikan bisnis FITNESS org..,pikir ulang pak..🤦🏽",Non-Sarcasm
"dibandung emang dingin bgt kali ya sampe susah nyari keringet, dijakarta dijamin ga ada yg butuh extra keringet, pejalan kaki lebih butuh tempat berteduh dari hujan, charging station kalo kepepet lowbat dipinggir jalan, dan masih banyak ide lainnya yg lebih ber.......",Non-Sarcasm
Bayangin naik tj full bau keringat karna kebanyakan ngangkat dumbell 😬,Non-Sarcasm
Sediain tempat mandi di sebelah nya pak untu mengantisipasinya,Non-Sarcasm
Tambah LING LUNG Nih ORANG... Dari dulu Saya ga Pernah Ngerti dgn Orang Ini..,Non-Sarcasm
"Nunggu Transjakarta aja orang kadang sdh keringatan, sdh kondisi capek n lelah di suruh nge gym. Ya kocak lah 😂",Sarcasm
Sekalian pak WC nya buat mandi dipinggir jalan biar abis nge gym bisa langsung mandi. Sekalian ruang makan biar abis mandi bisa langsung makan,Non-Sarcasm
Nunggu aja udah keringetan pak,Non-Sarcasm
Keren bang Emil... 👍👍👍,Non-Sarcasm
Semakin tidak masuk akal,Non-Sarcasm
"Ideanya seperti prakaria anak sekolahan. Jalan kaki saja ke halte bus sudah olah raga. Nge gym dipinggir jalan, keringatan, akan membuat bus jadi bau keringat",Non-Sarcasm
"Astaghfirullah,.. semakin melayang² idenya nih.. membumi ajalah!!",Non-Sarcasm
Wkwkw bau ketek KRL 😂,Sarcasm
bgsd poster,Non-Sarcasm
jalan kaki aja udh olahraga itu aduh wkwk,Non-Sarcasm
Pagi di resmiin...siang atau sorenya udah di kiloin.......jangan kan alat gym.....tutup seloka yg besi aja bisa cair...wkwkwkwkwk...mendingan pak ....BIKIN UMR JAKARTA MINIMAL 2 DIGIT .....REALISASIKAN PAK.....MANTAB ITU BIAR DAERAH LAIN JUGA NGIKUTIN  MINIMAL JABODETABEK SAMA,Non-Sarcasm
Entitas lain : Dijual mahal coyyyy 👏,Non-Sarcasm
"Yg nunggu busway yg mau kerja sambil nunggu ngegym dulu edeeehh jembatan transitnya aja udah nguras keringet kang kaya wahana halilintar cuma aja g ngeliuk²,itu alat gym mau taro dijembatan apa dalem koridor halte busway nya,,,,,iyyyeeee kalo ngomomg itu jangan asbun dipikir naek busway letaknya sejajar sama taman dipinggir jalan apa berenti langsung naeeekkk,,,kacaaaauuuu balik lagi ke bandung atuh kang😪😪",Non-Sarcasm
"Janji basi, paling bagus janji makan gratis warga jakarta 3x sehari selama 5thn.  Pasti menang karena",Sarcasm
Sdh habis idee😂,Sarcasm
😂,Sarcasm
Daripada pasang alat gym mending taro mesin jait sambil nunggu,Non-Sarcasm
Bau kesang atuh TJ na pak Gub @ridwankamil,Non-Sarcasm
😂😂,Sarcasm
agaaakkk laaeeenn kauu.. agakkk laeennn kauuuuu.. 🎼🎼🎼🎼😃😃,Non-Sarcasm
"Pak coba rasain dulu naik TJ baru kasi ide sama gagasan, naik TJ di jam ramai pak 17.00-20.00",Non-Sarcasm
Perkilo disana berapa klo dijual?😂,Sarcasm
Hiatus ajalah pak RK wkwkwk,Non-Sarcasm
makin nggak mutu,Non-Sarcasm
Jakarta panas lho kang.. Mana enak keringetan masuk transportasi umum,Non-Sarcasm
"Keruan armada dibanyak kin ,calon penumpang GK pakai Lama menunggu",Non-Sarcasm
INI ORANG SEMAKIN KESINK KOK SEMAKIN KESONO,Non-Sarcasm
Banyak membual,Non-Sarcasm
Ilang,Non-Sarcasm
"Tutup gorong gorong aja ilang apa lagi ini, ga ada ide laen apa brohhhhhhh",Non-Sarcasm
Jabar aja gak beres..,Non-Sarcasm
Jauh2 dr bandung ke jakarta cuma mau ngelawak.... Tapi kalo sampe menang sih lebih lawak lg 😂,Sarcasm
"Tutup gorong2 ajh d colong, palgi alat gym 🤣",Sarcasm
Geus balik ka bandung we,Non-Sarcasm
Makin dekat ntah semakin apa yg mau di buat pak RK. Ngadi ngadi😂,Sarcasm
Semakin nggak masuk akal😂😂,Sarcasm
Apasih wkwk,Non-Sarcasm
"bagus nya lari dulu d gbk bru naek transjakarta.. Biar mental, fisik, sm bau nya jd tambah kuat.. Kuat kuatan kalian nyium baunya 😂",Sarcasm
"Tidak jelas banget program kerjanya 😂😂😂, buang"" anggaran aja...😂😂😂",Sarcasm
Kalau dijatim bisa ilang diambil orang2 mexico,Non-Sarcasm
"buset dah, nunggunya aja dah bikin berkeringat 😂",Sarcasm
Apasih pak 😢,Non-Sarcasm
😂,Sarcasm
Ikut StandUp komedia aja biar serius ketimbang jadi Cagub.  Penutup gorong gorong aja bisa hilang kok....😂😂😂😂,Sarcasm
"Yang ada bukannya sehat, malah masuk angin pas naik tj",Non-Sarcasm
Pelawak di pilgub,Non-Sarcasm
Lagi stand up comedy,Non-Sarcasm
Yang ada jg hilang diloakin...😂,Sarcasm
"Logikanya makin ""sehat"" Yaa.... Padahal polusi itu dihindari olahragawan. 😂😂😂",Sarcasm
besi brapa 1 kg...di botot.,Non-Sarcasm
"Kurang setuju sih.. Apa gak hilang itu barang.. kecuali kalau disediain di taman² masih mungkin sekalian olahraga, kan biasanya pada olahraga di situ",Non-Sarcasm
Astaga pak pak,Non-Sarcasm
Penasaran coba kebijakan gini dibuat di medan😂,Sarcasm
Hahahahhaha,Sarcasm
"ide-idenya dari dulu lebay.... termasuk waktu anaknya meninggal, semua dibuat lebay...",Non-Sarcasm
Aneh.... kehabisan Ide,Non-Sarcasm
"Astagaaaa, salah pake alasan penunjangnya pak, bikin yg endorse pusing ini mah 😂",Sarcasm
Bagus sekalian aja letak alat gym nya di dlm bus biar sambil ngegym,Non-Sarcasm
Ngawuurrr,Non-Sarcasm
oon yes ? jualan gimmick2 gak mutu terus. tiru joget gemoy ?,Non-Sarcasm
Si Kamil sibuk berhalusinasi sedangkan PKS berharap dukungan dari Anies Rasyid Baswedan,Non-Sarcasm
🤦🤦🤦,Non-Sarcasm
Mo ke kantor kok disuru nge gym.. Keringetan dong.. 😮,Non-Sarcasm
"Besi gorong"" aja ilang apalgi alat olahraga tolol😂",Sarcasm
"Jadi gini nih, ada orang lagi nunggu busway mau berangkat kerja, terus disuruh olah raga , yang ada di dalem bau ketek , KOCAK😂",Sarcasm
Makin blunder demi DKI 1 😂,Sarcasm
Mending la taro Giant Tank (aquarium) di tiap halte TJ... Lebih berguna,Non-Sarcasm
"Jangan sampe habisin anggaran Trilyinan unfaedah , contoh tuh teras Cihampelas , bdg korban macet ,apbd habis puluhan milyar sekrng jadi besi tua !😂",Sarcasm
😂😂,Sarcasm
Hahaha jd pd bau bkn nya fresh pagi²😂,Sarcasm
kok ....??ap aku doang,Non-Sarcasm
Ngopi dulu kang,Non-Sarcasm
Untuk pemuda pengangguran itu perlu.. Sb mau kawin,Non-Sarcasm
Yg kurang tu duit pak.. Bukan yg aneh2,Non-Sarcasm
"Ide menarik ya, setidaknya disini engagement akan ide ini banyak.",Non-Sarcasm
Buset capek banget jadi warga jakarta wkwkwk,Non-Sarcasm
Lalu fungsi taman kota apa pak 😂,Sarcasm
2 pilgub DKI sblmnya menarik untuk dibahas. Sekarang mbuh.,Non-Sarcasm
Bau ketek ntar...,Non-Sarcasm
Gagasan yg nggragas,Non-Sarcasm
"Ga perlu alat gym Pak. Masyarakat pengguna trasum, tiap hari udah olahraga lari2 ngejar waktu, apalagi anak angker 😂",Sarcasm
😂😂,Sarcasm
Da ga gerak juga di halte jakarta mah bisa ngoprot 🙏,Non-Sarcasm
Bagus biar pada bau ketek di dalam bus.😂,Sarcasm
RK kalah otomatis gak bisa maju pilpres 2029. yang paham2 aja ya 😂,Sarcasm
Buang2 anggaran ga penting,Non-Sarcasm
Makin2 halu😂😂😂😂,Sarcasm
Percayalah program ini sudah dibuktikan di Jawa Barat,Non-Sarcasm
Sebenarnya bau badan karena bakteri. Tapi ide ini aneh.,Non-Sarcasm
,Non-Sarcasm
"kebijakan yang ""wah"" tapi tidak effisien. cuaak",Non-Sarcasm
Nyahhhh.... Makin konyol dia ide nya...😂,Sarcasm
😂😂😂😂😂😂,Sarcasm
Apa ga semerbak itu udah pasti desek2 an. . Agak laen emang antek mulyono😂,Sarcasm
Anjay mending kita niru jepang aja ngabb 🙌,Non-Sarcasm
"Pinggir jalan manee, trotoarnya aja pd rusak 😂 udah gitu ngegym sambil ngisep polusi 🤣",Sarcasm
Noooohhh @sajidin96 @umar.sb_ @si_betok,Non-Sarcasm
Diihh,Non-Sarcasm
TUKANG NGIBUL JABAR UTANGNYA,Non-Sarcasm
🤣🤣🤣🤣🤣🤣🤣🤣,Sarcasm
Mending lu taro tuh es buah... Di halte jadi kalo haus tinggal minum sambil nunggu bus...,Non-Sarcasm
cuma manusia bodoh yg milih orang ini,Non-Sarcasm
Masuk kantor pada lepek pak baju🤣,Sarcasm
Di kiloin nanti pak...wkkwkwkw,Non-Sarcasm
Sungguh ide yg tolol. Keliatan banget  paslon ini GAK ngerti jakarta samsek,Non-Sarcasm
Saking ga da program unggul n bermanfaat...jd sprti ini... menyala keringat mya di tije... 🤫🤫🤭🤭😂😂😂,Sarcasm
"Ada kabar baik nih buat yg suka tauran,, ada bahan buat di lempar lempar",Non-Sarcasm
Kurang kerjaan tu kang emil,Non-Sarcasm
Dicolong duro ga se wesine 💀,Non-Sarcasm
Ada2 aja.,Non-Sarcasm
makin kesini kok makin ngawur Pak? apa emang disuruh untuk kalah di pertemuan terakhir kmaren?,Non-Sarcasm
Imajinasi🌈,Non-Sarcasm
bau pwqi🐽,Non-Sarcasm
bau kesang atuh pak d bus na,Non-Sarcasm
imajinasinya out of the box ya kan🙈,Sarcasm
"Hahahha ngurusin ko hal"" remeh temeh...yg berbobot dikit pak..maluu maluuu😂😂",Sarcasm
Ngeloot,Non-Sarcasm
idenya diluar otak,Non-Sarcasm
Masih main kosmetik,Non-Sarcasm
😂,Sarcasm
Mungkin dia lg sakaw jd hayalannya melampaui dunia fantasi,Non-Sarcasm
Jadi juga nih coblos semua,Non-Sarcasm
Gak tau y jakrta sepanas ap😂😂😂 gagasan konyol,Sarcasm
Bro pikir ini lembang😂 orang lembang pun ogah keknya olahraga sebelum masuk transum,Sarcasm
"Maaf ya sebelumnya bukan mau mengungkit, apa Pak RK ini masih terpukul sampai mengeluarkan ide yg ngasal..",Non-Sarcasm
"Aduh, lebih logis komjen dharma usul usulannya",Non-Sarcasm
😂😂waduh 😂😂😂,Sarcasm
Ide..koq ora monyos.....,Non-Sarcasm
"Jalan aja uda panas, apalagi isi ngegym😂😂",Sarcasm
Sudah ada tempat kalau mau gym.. yg lebih kreatif dan berguna ada ga,Non-Sarcasm
MEJA MAKAN SEKALIAN,Non-Sarcasm
😂😂😂😂😂,Sarcasm
"Yg ada tu alat gym langsung raib digondol maling pak,kaya ga tau aja kondisi dinegara ini,yg dirumah digembok dobel aja bisa hilang lahh ini pinggir jalan😂😂😂lawak mang ridwan",Sarcasm
Lu ntar jd keker un @presiden_netizen_official,Non-Sarcasm
